"","indication_category","concept_id","concept_code","concept_name","domain_id","vocabulary_id"
"1280","Skin infection",3657956,"11809621000119104","Infected abrasion of skin of left thigh","Condition","SNOMED"
"1281","Skin infection",3657966,"11849021000119103","Infected abrasion of skin of left breast","Condition","SNOMED"
"1282","Skin infection",3657967,"11862161000119109","Infected abrasion of skin of right ankle region","Condition","SNOMED"
"1283","Skin infection",3657968,"11862201000119104","Infected abrasion of skin of left ankle region","Condition","SNOMED"
"1284","Skin infection",3662161,"11808821000119105","Infected abrasion of skin of right hip region","Condition","SNOMED"
"1285","Skin infection",3662162,"11808861000119100","Infected abrasion of skin of left hip region","Condition","SNOMED"
"1286","Skin infection",3662166,"11822921000119105","Infected abrasion of skin of right upper arm","Condition","SNOMED"
"1287","Skin infection",3662167,"11822961000119100","Infected abrasion of skin of left upper arm","Condition","SNOMED"
"1288","Skin infection",3662168,"11823161000119108","Infected abrasion of skin of right shoulder region","Condition","SNOMED"
"1289","Skin infection",3662169,"11823201000119103","Infected abrasion of skin of left shoulder region","Condition","SNOMED"
"1290","Skin infection",3662173,"11843951000119105","Infected abrasion of skin of right ear","Condition","SNOMED"
"1291","Skin infection",3662174,"11843991000119100","Infected abrasion of skin of left ear","Condition","SNOMED"
"1292","Skin infection",3662176,"11848501000119109","Infected abrasion of skin of right eyelid","Condition","SNOMED"
"1293","Skin infection",3662178,"11848581000119101","Infected abrasion of skin of left eyelid","Condition","SNOMED"
"1294","Skin infection",3662179,"11862241000119102","Infected abrasion of skin of right great toe","Condition","SNOMED"
"1295","Skin infection",3662180,"11862281000119107","Infected abrasion of skin of left great toe","Condition","SNOMED"
"1296","Skin infection",3662181,"11862321000119102","Infected abrasion of skin of right foot","Condition","SNOMED"
"1297","Skin infection",4001323,"10995009","Abrasion and/or friction burn of scapular region with infection","Condition","SNOMED"
"1298","Skin infection",4001887,"1197005","Carbuncle of heel","Condition","SNOMED"
"1299","Skin infection",4003368,"12008008","Palmar papilloma of yaws","Condition","SNOMED"
"1300","Skin infection",4004094,"10065003","Excoriated acne","Condition","SNOMED"
"1301","Skin infection",4004319,"204919003","Erythematous pinta plaque","Condition","SNOMED"
"1302","Skin infection",4006157,"111200005","Nodular elastosis with cysts and comedones","Condition","SNOMED"
"1303","Skin infection",4006304,"111362001","Anal furunculosis","Condition","SNOMED"
"1304","Skin infection",4008720,"111796005","Madura foot due to Streptomyces somaliensis","Condition","SNOMED"
"1305","Skin infection",4009313,"111707007","Abrasion and/or friction burn of chest wall with infection","Condition","SNOMED"
"1306","Skin infection",4018501,"209516003","Relapsing fever of North Africa","Condition","SNOMED"
"1307","Skin infection",4019692,"10528009","Lupus vulgaris","Condition","SNOMED"
"1308","Skin infection",4026970,"10671005","Blister of scapular region with infection","Condition","SNOMED"
"1309","Skin infection",4028013,"13277001","Cystic acne","Condition","SNOMED"
"1310","Skin infection",4028236,"128273004","Carbuncle of head","Condition","SNOMED"
"1311","Skin infection",4028864,"128939001","Infection of subcutaneous tissue","Condition","SNOMED"
"1312","Skin infection",4029043,"108365000","Infection of skin","Condition","SNOMED"
"1313","Skin infection",4029504,"12864009","Boil of scrotum","Condition","SNOMED"
"1314","Skin infection",4029803,"128936008","Bacterial infection of skin","Condition","SNOMED"
"1315","Skin infection",4030846,"238374001","Non-bullous impetigo","Condition","SNOMED"
"1316","Skin infection",4030847,"238377008","Secondary impetiginization","Condition","SNOMED"
"1317","Skin infection",4030851,"238393004","Lupoid sycosis of beard","Condition","SNOMED"
"1318","Skin infection",4030964,"10920005","Abrasion and/or friction burn of lip with infection","Condition","SNOMED"
"1319","Skin infection",4030983,"238417000","Non-pyogenic bacterial infection of skin","Condition","SNOMED"
"1320","Skin infection",4030984,"238421007","Fusobacterium infection of skin","Condition","SNOMED"
"1321","Skin infection",4030985,"238427006","Staphylococcal scarlatina","Condition","SNOMED"
"1322","Skin infection",4030986,"238432007","BCG ulcer","Condition","SNOMED"
"1323","Skin infection",4031037,"14268002","Carbuncle of umbilicus","Condition","SNOMED"
"1324","Skin infection",4031461,"238376004","Staphylococcal non-bullous impetigo","Condition","SNOMED"
"1325","Skin infection",4031468,"238410003","Staphylococcal intertrigo","Condition","SNOMED"
"1326","Skin infection",4031470,"238424004","Arcanobacterium pyogenes infection of skin","Condition","SNOMED"
"1327","Skin infection",4031471,"238425003","Meningococcal rash","Condition","SNOMED"
"1328","Skin infection",4031472,"238430004","Cutaneous complication of BCG immunization","Condition","SNOMED"
"1329","Skin infection",4031473,"238431000","BCG granuloma","Condition","SNOMED"
"1330","Skin infection",4031829,"14096004","Nonvenomous insect bite of scapular region with infection","Condition","SNOMED"
"1331","Skin infection",4032266,"238372002","Chlamydial dermatological disorders","Condition","SNOMED"
"1332","Skin infection",4032267,"238375000","Streptococcal impetigo","Condition","SNOMED"
"1333","Skin infection",4032268,"238379006","Staphylococcal folliculitis of scalp","Condition","SNOMED"
"1334","Skin infection",4032269,"238381008","Staphylococcal granuloma","Condition","SNOMED"
"1335","Skin infection",4032276,"238414007","Staphylococcal botryomycosis","Condition","SNOMED"
"1336","Skin infection",4032277,"238418005","Erythrasma","Condition","SNOMED"
"1337","Skin infection",4032358,"129668006","Ulcer due to Treponema vincentii","Condition","SNOMED"
"1338","Skin infection",4032628,"15034009","Nonvenomous insect bite of breast with infection","Condition","SNOMED"
"1339","Skin infection",4032807,"14800001","Dermatitis vegetans","Condition","SNOMED"
"1340","Skin infection",4032879,"238743000","Juvenile acne","Condition","SNOMED"
"1341","Skin infection",4032880,"238744006","Comedonal acne","Condition","SNOMED"
"1342","Skin infection",4032881,"238745007","Nodulocystic acne","Condition","SNOMED"
"1343","Skin infection",4033023,"10954006","Tropical acne","Condition","SNOMED"
"1344","Skin infection",4033341,"238746008","Acne keloid","Condition","SNOMED"
"1345","Skin infection",4033342,"238752009","Acne agminata","Condition","SNOMED"
"1346","Skin infection",4034224,"237447001","Primary syphilis of nipple","Condition","SNOMED"
"1347","Skin infection",4035767,"2396006","Malignant pyoderma","Condition","SNOMED"
"1348","Skin infection",4039951,"16442005","Leontiasis ossium","Condition","SNOMED"
"1349","Skin infection",4042209,"22920003","Acne of external chemical origin","Condition","SNOMED"
"1350","Skin infection",4042997,"11857005","Carbuncle of nose","Condition","SNOMED"
"1351","Skin infection",4047261,"13101006","Acne mechanica","Condition","SNOMED"
"1352","Skin infection",4047476,"23191004","Early yaws","Condition","SNOMED"
"1353","Skin infection",4047478,"23196009","Frambeside of early yaws","Condition","SNOMED"
"1354","Skin infection",4047816,"135849005","Blind boil","Condition","SNOMED"
"1355","Skin infection",4048718,"15845006","Buruli ulcer","Condition","SNOMED"
"1356","Skin infection",4048751,"206554002","Neonatal skin infection","Condition","SNOMED"
"1357","Skin infection",4048756,"206598002","Relapsing fever of Southwest U.S. AND/OR Mexico","Condition","SNOMED"
"1358","Skin infection",4048872,"15634005","Palmar hyperkeratosis of yaws","Condition","SNOMED"
"1359","Skin infection",4050695,"210992005","Abrasion of face, infected","Condition","SNOMED"
"1360","Skin infection",4050828,"211061001","Abrasion of flank, infected","Condition","SNOMED"
"1361","Skin infection",4051591,"211258009","Abrasion of forearm, infected","Condition","SNOMED"
"1362","Skin infection",4051600,"211339002","Abrasion of knee, infected","Condition","SNOMED"
"1363","Skin infection",4051601,"211341001","Abrasion of ankle, infected","Condition","SNOMED"
"1364","Skin infection",4051748,"211406001","Abrasion of foot, infected","Condition","SNOMED"
"1365","Skin infection",4052229,"210994006","Abrasion of scalp, infected","Condition","SNOMED"
"1366","Skin infection",4052230,"211012003","Insect bite, nonvenomous, of head, infected","Condition","SNOMED"
"1367","Skin infection",4052362,"211054000","Abrasion of interscapular region, infected","Condition","SNOMED"
"1368","Skin infection",4052363,"211055004","Abrasion of chest wall, infected","Condition","SNOMED"
"1369","Skin infection",4052364,"211059005","Abrasion of buttock, infected","Condition","SNOMED"
"1370","Skin infection",4052366,"211064009","Abrasion of penis, infected","Condition","SNOMED"
"1371","Skin infection",4052375,"211145001","Splinter of flank without major open wound, infected","Condition","SNOMED"
"1372","Skin infection",4052511,"211256008","Abrasion and/or friction burn of forearm, infected","Condition","SNOMED"
"1373","Skin infection",4052647,"211338005","Abrasion of thigh, infected","Condition","SNOMED"
"1374","Skin infection",4052650,"211365003","Insect bite, nonvenomous, of knee, infected","Condition","SNOMED"
"1375","Skin infection",4055715,"211057007","Abrasion of abdominal wall, infected","Condition","SNOMED"
"1376","Skin infection",4055846,"211197008","Abrasion of shoulder, infected","Condition","SNOMED"
"1377","Skin infection",4055847,"211198003","Abrasion of scapular region, infected","Condition","SNOMED"
"1378","Skin infection",4055848,"211199006","Abrasion of axilla, infected","Condition","SNOMED"
"1379","Skin infection",4055849,"211200009","Abrasion of upper arm, infected","Condition","SNOMED"
"1380","Skin infection",4055986,"211337000","Abrasion of hip, infected","Condition","SNOMED"
"1381","Skin infection",4056330,"198227006","Furuncle of vulva","Condition","SNOMED"
"1382","Skin infection",4056588,"210993000","Abrasion of neck, infected","Condition","SNOMED"
"1383","Skin infection",4058061,"211056003","Abrasion of breast, infected","Condition","SNOMED"
"1384","Skin infection",4058062,"211058002","Abrasion of back, infected","Condition","SNOMED"
"1385","Skin infection",4058064,"211062008","Abrasion of groin, infected","Condition","SNOMED"
"1386","Skin infection",4058221,"211257004","Abrasion of elbow, infected","Condition","SNOMED"
"1387","Skin infection",4058222,"211259001","Abrasion of wrist, infected","Condition","SNOMED"
"1388","Skin infection",4058352,"211336009","Abrasion and/or friction burn of lower limb, infected","Condition","SNOMED"
"1389","Skin infection",4058353,"211340000","Abrasion of lower leg, infected","Condition","SNOMED"
"1390","Skin infection",4058367,"211407005","Abrasion of toe, infected","Condition","SNOMED"
"1391","Skin infection",4061215,"198236005","Carbuncle of labium","Condition","SNOMED"
"1392","Skin infection",4061712,"200600003","Carbuncle of head (excluding face)","Condition","SNOMED"
"1393","Skin infection",4061733,"200744008","Chronic paronychia","Condition","SNOMED"
"1394","Skin infection",4061822,"17039000","Blister of abdominal wall with infection","Condition","SNOMED"
"1395","Skin infection",4063564,"201224007","Acne urticata","Condition","SNOMED"
"1396","Skin infection",4063806,"200586004","Carbuncle of back","Condition","SNOMED"
"1397","Skin infection",4063807,"200589006","Carbuncle of elbow","Condition","SNOMED"
"1398","Skin infection",4063812,"200608005","Boil of back","Condition","SNOMED"
"1399","Skin infection",4063922,"200708003","Impetigo follicularis","Condition","SNOMED"
"1400","Skin infection",4063923,"200709006","Chronic symmetrical impetigo","Condition","SNOMED"
"1401","Skin infection",4063925,"200718008","Pyoderma ulcerosum tropicalum","Condition","SNOMED"
"1402","Skin infection",4065350,"201222006","Steroid acne","Condition","SNOMED"
"1403","Skin infection",4065912,"17198008","Nonvenomous insect bite of ear with infection","Condition","SNOMED"
"1404","Skin infection",4065976,"200582002","Carbuncle of face (excluding eye)","Condition","SNOMED"
"1405","Skin infection",4065977,"200595007","Carbuncle of lower leg","Condition","SNOMED"
"1406","Skin infection",4065984,"200606009","Boil of external nose","Condition","SNOMED"
"1407","Skin infection",4065988,"200618000","Boil of lower leg","Condition","SNOMED"
"1408","Skin infection",4066164,"17332000","Acne cosmetica","Condition","SNOMED"
"1409","Skin infection",4066172,"17250009","Blister of interscapular region with infection","Condition","SNOMED"
"1410","Skin infection",4066361,"200611006","Boil of elbow","Condition","SNOMED"
"1411","Skin infection",4066374,"200704001","Impetigo contagiosa gyrata","Condition","SNOMED"
"1412","Skin infection",4066406,"17384006","Nonvenomous insect bite of toe with infection","Condition","SNOMED"
"1413","Skin infection",4066723,"200706004","Impetigo neonatorum","Condition","SNOMED"
"1414","Skin infection",4066930,"201215003","Bromine acne","Condition","SNOMED"
"1415","Skin infection",4066931,"201217006","Iodine acne","Condition","SNOMED"
"1416","Skin infection",4067181,"201220003","Occupational acne","Condition","SNOMED"
"1417","Skin infection",4067383,"21382004","Carbuncle of hip","Condition","SNOMED"
"1418","Skin infection",4068162,"17379000","Furuncle of flank","Condition","SNOMED"
"1419","Skin infection",4069115,"17438000","Carbuncle of chest wall","Condition","SNOMED"
"1420","Skin infection",4069777,"21707009","Lupoid sycosis","Condition","SNOMED"
"1421","Skin infection",4070328,"17732003","Ecthyma gangrenosum","Condition","SNOMED"
"1422","Skin infection",4071026,"21869003","Furuncle of groin","Condition","SNOMED"
"1423","Skin infection",4071708,"2176006","Halogen acne","Condition","SNOMED"
"1424","Skin infection",4077307,"18892009","Carbuncle of forearm","Condition","SNOMED"
"1425","Skin infection",4077898,"18900005","Periporitis","Condition","SNOMED"
"1426","Skin infection",4078359,"19043005","Furuncle of scalp","Condition","SNOMED"
"1427","Skin infection",4078590,"279324004","Site-specific infective disorders of skin","Condition","SNOMED"
"1428","Skin infection",4079152,"277499006","Complicated donovanosis","Condition","SNOMED"
"1429","Skin infection",4080182,"238380009","Gram-negative folliculitis","Condition","SNOMED"
"1430","Skin infection",4080183,"238388002","Pseudomonas aeruginosa paronychia","Condition","SNOMED"
"1431","Skin infection",4080184,"238389005","Boils of multiple sites","Condition","SNOMED"
"1432","Skin infection",4080186,"238391002","Acute sycosis barbae","Condition","SNOMED"
"1433","Skin infection",4080304,"238406001","Site-specific pyogenic infection of skin and subcutis","Condition","SNOMED"
"1434","Skin infection",4080306,"238411004","Streptococcal intertrigo","Condition","SNOMED"
"1435","Skin infection",4080309,"238415008","Cutaneous botryomycosis","Condition","SNOMED"
"1436","Skin infection",4080313,"238426002","Moraxella infection of skin","Condition","SNOMED"
"1437","Skin infection",4080424,"240586001","Chancroid - extragenital ulcer","Condition","SNOMED"
"1438","Skin infection",4080427,"240602008","Early lymphogranuloma venereum","Condition","SNOMED"
"1439","Skin infection",4080444,"240673004","Leptospiral rash","Condition","SNOMED"
"1440","Skin infection",4080445,"240677003","Maculopapular yaws","Condition","SNOMED"
"1441","Skin infection",4080600,"240603003","Late lymphogranuloma venereum","Condition","SNOMED"
"1442","Skin infection",4080621,"240678008","Micropapular yaws","Condition","SNOMED"
"1443","Skin infection",4080774,"240558009","Macular syphilide","Condition","SNOMED"
"1444","Skin infection",4080781,"240583009","Cutaneous gonorrhea","Condition","SNOMED"
"1445","Skin infection",4080922,"238530002","Light - exacerbated acne","Condition","SNOMED"
"1446","Skin infection",4081905,"240585002","Chancroid - anogenital ulcer","Condition","SNOMED"
"1447","Skin infection",4081906,"240587005","Chancroid - latent infection","Condition","SNOMED"
"1448","Skin infection",4081910,"240606006","Donovanosis - anogenital ulcer","Condition","SNOMED"
"1449","Skin infection",4082043,"240676007","Macular yaws","Condition","SNOMED"
"1450","Skin infection",4082044,"240679000","Papular yaws","Condition","SNOMED"
"1451","Skin infection",4082586,"247467008","Comedone","Condition","SNOMED"
"1452","Skin infection",4082587,"247468003","Closed comedone","Condition","SNOMED"
"1453","Skin infection",4083920,"247517004","Bacterial paronychia","Condition","SNOMED"
"1454","Skin infection",4084821,"240560006","Papular syphilide","Condition","SNOMED"
"1455","Skin infection",4084822,"240561005","Corona veneris","Condition","SNOMED"
"1456","Skin infection",4084823,"240562003","Pustular syphilide","Condition","SNOMED"
"1457","Skin infection",4084952,"240604009","Latent lymphogranuloma venereum","Condition","SNOMED"
"1458","Skin infection",4084961,"240685007","Mixed cutaneous pinta lesion","Condition","SNOMED"
"1459","Skin infection",4087427,"186357007","Streptococcal sore throat with scarlatina","Condition","SNOMED"
"1460","Skin infection",4087429,"18638007","Hidradenitis suppurativa of anus","Condition","SNOMED"
"1461","Skin infection",4087572,"24457001","Superficial injury of ear with infection","Condition","SNOMED"
"1462","Skin infection",4087897,"187089001","Actinomycotic mycetoma","Condition","SNOMED"
"1463","Skin infection",4088233,"186397005","Actinomycotic madura foot","Condition","SNOMED"
"1464","Skin infection",4093263,"25726008","Nonvenomous insect bite of groin with infection","Condition","SNOMED"
"1465","Skin infection",4093893,"280919009","Cutaneous disorders of Yaws","Condition","SNOMED"
"1466","Skin infection",4094087,"2606006","Furuncle of perineum","Condition","SNOMED"
"1467","Skin infection",4094654,"26067004","Madura foot due to Streptomyces","Condition","SNOMED"
"1468","Skin infection",4095409,"2622007","Infected ulcer of skin","Condition","SNOMED"
"1469","Skin infection",4098950,"253005","Sycosis","Condition","SNOMED"
"1470","Skin infection",4099596,"27351007","Carbuncle of penis","Condition","SNOMED"
"1471","Skin infection",4101997,"27972004","Superficial injury of interscapular region with infection","Condition","SNOMED"
"1472","Skin infection",4102125,"300927001","Episiotomy infection","Condition","SNOMED"
"1473","Skin infection",4102161,"28061009","Furuncle of hip","Condition","SNOMED"
"1474","Skin infection",4104689,"194202008","Infective otitis externa due to erysipelas","Condition","SNOMED"
"1475","Skin infection",4104821,"29199007","Furuncle of umbilicus","Condition","SNOMED"
"1476","Skin infection",4105482,"29440002","Superficial injury of groin with infection","Condition","SNOMED"
"1477","Skin infection",4106878,"29723007","Furuncle of chest wall","Condition","SNOMED"
"1478","Skin infection",4107054,"29989001","Carbuncle of abdominal wall","Condition","SNOMED"
"1479","Skin infection",4107072,"29909004","Pyoderma faciale","Condition","SNOMED"
"1480","Skin infection",4110668,"194203003","Infective otitis externa due to impetigo","Condition","SNOMED"
"1481","Skin infection",4110712,"254671003","Infection of sebaceous cyst","Condition","SNOMED"
"1482","Skin infection",4111105,"194204009","Furunculosis of external auditory meatus","Condition","SNOMED"
"1483","Skin infection",4112870,"254899009","Cutaneous glanders","Condition","SNOMED"
"1484","Skin infection",4116986,"300945001","Infected heel","Condition","SNOMED"
"1485","Skin infection",4130006,"237461006","Infected gland of Montgomery","Condition","SNOMED"
"1486","Skin infection",4135210,"31604004","Blister of flank with infection","Condition","SNOMED"
"1487","Skin infection",4136096,"32179007","Furuncle of nasal septum","Condition","SNOMED"
"1488","Skin infection",4136660,"32336003","Superficial injury of scapular region with infection","Condition","SNOMED"
"1489","Skin infection",4136973,"31772005","Cicatricial skin lesions of pinta","Condition","SNOMED"
"1490","Skin infection",4140541,"33155001","Nonvenomous insect bite of flank with infection","Condition","SNOMED"
"1491","Skin infection",4141063,"426006006","Trichomycosis pubis","Condition","SNOMED"
"1492","Skin infection",4143494,"267772007","Boil of upper limb","Condition","SNOMED"
"1493","Skin infection",4144542,"34403004","Blister of buttock with infection","Condition","SNOMED"
"1494","Skin infection",4144953,"33893009","Tuberculosis verrucosa cutis","Condition","SNOMED"
"1495","Skin infection",4145475,"266128007","Rash of secondary syphilis","Condition","SNOMED"
"1496","Skin infection",4146602,"30223005","Superficial injury of chest wall with infection","Condition","SNOMED"
"1497","Skin infection",4146757,"30283007","Initial frambesial ulcer","Condition","SNOMED"
"1498","Skin infection",4146982,"35490003","Furuncle of shoulder","Condition","SNOMED"
"1499","Skin infection",4148533,"35057008","Nonvenomous insect bite of penis with infection","Condition","SNOMED"
"1500","Skin infection",4149402,"30818003","Nonvenomous insect bite of perineum with infection","Condition","SNOMED"
"1501","Skin infection",4150064,"310008","Boil of penis","Condition","SNOMED"
"1502","Skin infection",4150468,"271112004","Traumatic blister of face, infected","Condition","SNOMED"
"1503","Skin infection",4150475,"271135001","Traumatic blister of abdominal wall, infected","Condition","SNOMED"
"1504","Skin infection",4150476,"271138004","Traumatic blister of buttock, infected","Condition","SNOMED"
"1505","Skin infection",4150477,"271140009","Traumatic blister of flank, infected","Condition","SNOMED"
"1506","Skin infection",4150478,"271143006","Traumatic blister of penis, infected","Condition","SNOMED"
"1507","Skin infection",4150481,"271153007","Traumatic blister of shoulder and upper arm, infected","Condition","SNOMED"
"1508","Skin infection",4150486,"271181001","Traumatic blister of hip, infected","Condition","SNOMED"
"1509","Skin infection",4150487,"271183003","Traumatic blister of knee, infected","Condition","SNOMED"
"1510","Skin infection",4150490,"271191007","Traumatic blister of foot, infected","Condition","SNOMED"
"1511","Skin infection",4150808,"31201001","Knight's disease","Condition","SNOMED"
"1512","Skin infection",4151520,"283347003","Infected insect bite of upper limb","Condition","SNOMED"
"1513","Skin infection",4151521,"283349000","Infected insect bite of palm of hand","Condition","SNOMED"
"1514","Skin infection",4152956,"283350000","Infected insect bite of thumb","Condition","SNOMED"
"1515","Skin infection",4152958,"283352008","Infected insect bite of genitalia","Condition","SNOMED"
"1516","Skin infection",4153130,"271142001","Traumatic blister of perineum, infected","Condition","SNOMED"
"1517","Skin infection",4153135,"271165006","Traumatic blister of elbow, infected","Condition","SNOMED"
"1518","Skin infection",4153136,"271166007","Traumatic blister of forearm, infected","Condition","SNOMED"
"1519","Skin infection",4153139,"271184009","Traumatic blister of lower leg, infected","Condition","SNOMED"
"1520","Skin infection",4153140,"271185005","Traumatic blister of ankle, infected","Condition","SNOMED"
"1521","Skin infection",4153142,"271192000","Traumatic blister of toe, infected","Condition","SNOMED"
"1522","Skin infection",4153291,"271423008","Tuberculosis of skin and subcutaneous tissue","Condition","SNOMED"
"1523","Skin infection",4153658,"370519008","Cutaneous pythiosis","Condition","SNOMED"
"1524","Skin infection",4154355,"271111006","Traumatic blister of head, infected","Condition","SNOMED"
"1525","Skin infection",4154467,"271134002","Traumatic blister of breast, infected","Condition","SNOMED"
"1526","Skin infection",4154468,"271139007","Traumatic blister of anus, infected","Condition","SNOMED"
"1527","Skin infection",4154474,"271154001","Traumatic blister of shoulder, infected","Condition","SNOMED"
"1528","Skin infection",4154475,"271155000","Traumatic blister of scapular region, infected","Condition","SNOMED"
"1529","Skin infection",4154476,"271156004","Traumatic blister of axilla with infection","Condition","SNOMED"
"1530","Skin infection",4154479,"271167003","Traumatic blister of wrist, infected","Condition","SNOMED"
"1531","Skin infection",4154482,"271180000","Traumatic blister of lower limb, infected","Condition","SNOMED"
"1532","Skin infection",4154483,"271182008","Traumatic blister of thigh, infected","Condition","SNOMED"
"1533","Skin infection",4155027,"283348008","Infected insect bite of dorsum of hand","Condition","SNOMED"
"1534","Skin infection",4155028,"283354009","Infected insect bite of sole of foot","Condition","SNOMED"
"1535","Skin infection",4156057,"272006008","Gonococcal arthritis dermatitis syndrome","Condition","SNOMED"
"1536","Skin infection",4156669,"271113009","Traumatic blister of neck, infected","Condition","SNOMED"
"1537","Skin infection",4156670,"271114003","Traumatic blister of scalp, infected","Condition","SNOMED"
"1538","Skin infection",4156794,"271132003","Traumatic blister of interscapular region, infected","Condition","SNOMED"
"1539","Skin infection",4156795,"271133008","Traumatic blister of chest wall, infected","Condition","SNOMED"
"1540","Skin infection",4156796,"271136000","Traumatic blister of back, infected","Condition","SNOMED"
"1541","Skin infection",4156797,"271141008","Traumatic blister of groin, infected","Condition","SNOMED"
"1542","Skin infection",4156799,"271157008","Traumatic blister of upper arm, infected","Condition","SNOMED"
"1543","Skin infection",4156801,"271170004","Traumatic blister of hand, infected","Condition","SNOMED"
"1544","Skin infection",4156802,"271172007","Traumatic blister of finger, infected","Condition","SNOMED"
"1545","Skin infection",4157531,"272262003","Esthiomene","Condition","SNOMED"
"1546","Skin infection",4158335,"271763005","Open comedone","Condition","SNOMED"
"1547","Skin infection",4159863,"371310004","Streptococcal skin disorder","Condition","SNOMED"
"1548","Skin infection",4160083,"371237000","Syphilitic skin disorder","Condition","SNOMED"
"1549","Skin infection",4160460,"399183005","Impetigo bullosa","Condition","SNOMED"
"1550","Skin infection",4162546,"398679002","Bowenoid papulosis of penis","Condition","SNOMED"
"1551","Skin infection",4163393,"45348006","Furuncle of pectoral region","Condition","SNOMED"
"1552","Skin infection",4163900,"399324007","Bacterial folliculitis","Condition","SNOMED"
"1553","Skin infection",4164928,"41080008","Cutaneous yaws (less than 5 years)","Condition","SNOMED"
"1554","Skin infection",4165045,"45666009","Blister of ear with infection","Condition","SNOMED"
"1555","Skin infection",4165895,"41232003","Blister of scrotum with infection","Condition","SNOMED"
"1556","Skin infection",4166856,"45581006","Abrasion and/or friction burn of breast with infection","Condition","SNOMED"
"1557","Skin infection",4168057,"275441009","Superficial bacterial infection of skin","Condition","SNOMED"
"1558","Skin infection",4168058,"275444001","Traumatic blister of heel, infected","Condition","SNOMED"
"1559","Skin infection",4169102,"48903002","Carbuncle of axilla","Condition","SNOMED"
"1560","Skin infection",4169234,"48934003","Carbuncle of flank","Condition","SNOMED"
"1561","Skin infection",4169415,"48759000","Furuncle of ankle","Condition","SNOMED"
"1562","Skin infection",4170125,"275443007","Traumatic blister of scrotum, infected","Condition","SNOMED"
"1563","Skin infection",4170730,"49435000","Superficial injury of buttock with infection","Condition","SNOMED"
"1564","Skin infection",4170853,"49454000","Abrasion and/or friction burn of flank with infection","Condition","SNOMED"
"1565","Skin infection",4170873,"49524007","Abrasion and/or friction burn of groin with infection","Condition","SNOMED"
"1566","Skin infection",4171058,"42089007","Nonvenomous insect bite of anus with infection","Condition","SNOMED"
"1567","Skin infection",4171380,"42032008","Nonvenomous insect bite of abdominal wall with infection","Condition","SNOMED"
"1568","Skin infection",4172185,"42228007","Acne conglobata","Condition","SNOMED"
"1569","Skin infection",4172307,"49706007","Neonatal acne","Condition","SNOMED"
"1570","Skin infection",4173737,"50293005","Abrasion and/or friction burn of penis with infection","Condition","SNOMED"
"1571","Skin infection",4174303,"276676005","Perinatal skin and subcutaneous infections","Condition","SNOMED"
"1572","Skin infection",4176094,"49894005","Trichomycosis axillaris","Condition","SNOMED"
"1573","Skin infection",4177852,"428101005","Inflammatory acne","Condition","SNOMED"
"1574","Skin infection",4178125,"52023002","Carbuncle of finger","Condition","SNOMED"
"1575","Skin infection",4178891,"50124004","Nonvenomous insect bite of buttock with infection","Condition","SNOMED"
"1576","Skin infection",4181310,"428762009","Infected insect bite of hand","Condition","SNOMED"
"1577","Skin infection",4183170,"4340003","Acrodermatitis atrophicans chronica","Condition","SNOMED"
"1578","Skin infection",4183270,"53243005","Hyperchromic lesions of pinta","Condition","SNOMED"
"1579","Skin infection",4183997,"54274001","Primary syphilis of fingers","Condition","SNOMED"
"1580","Skin infection",4185105,"43591003","Exanthematous infectious disease","Condition","SNOMED"
"1581","Skin infection",4185273,"44006003","Superficial injury of nose with infection","Condition","SNOMED"
"1582","Skin infection",4185761,"414304001","Furuncle of nasal cavity","Condition","SNOMED"
"1583","Skin infection",4185826,"55768006","Syphilitic leukoderma","Condition","SNOMED"
"1584","Skin infection",4186603,"46355004","Carbuncle of scrotum","Condition","SNOMED"
"1585","Skin infection",4187237,"47027001","Nonvenomous insect bite of scrotum with infection","Condition","SNOMED"
"1586","Skin infection",4187789,"46080009","Abrasion and/or friction burn of abdominal wall with infection","Condition","SNOMED"
"1587","Skin infection",4189317,"414600000","Lepromatous anterior uveitis","Condition","SNOMED"
"1588","Skin infection",4190297,"39329003","Superficial injury of flank with infection","Condition","SNOMED"
"1589","Skin infection",4193895,"79340003","Abrasion and/or friction burn of interscapular region with infection","Condition","SNOMED"
"1590","Skin infection",4194534,"79077003","Abrasion and/or friction burn of back with infection","Condition","SNOMED"
"1591","Skin infection",4195716,"67974004","Nonvenomous insect bite of nose with infection","Condition","SNOMED"
"1592","Skin infection",4195936,"44464006","Postpartum AND/OR puerperal erysipelas","Condition","SNOMED"
"1593","Skin infection",4198074,"51882009","Nonvenomous insect bite of interscapular region with infection","Condition","SNOMED"
"1594","Skin infection",4199152,"52508001","Carbuncle of toe","Condition","SNOMED"
"1595","Skin infection",4199541,"302016005","Carbuncle of lower limb","Condition","SNOMED"
"1596","Skin infection",4200680,"53396004","Bockhart impetigo","Condition","SNOMED"
"1597","Skin infection",4200994,"52681002","Furuncle of temple region","Condition","SNOMED"
"1598","Skin infection",4201010,"51212009","Pitted keratolysis","Condition","SNOMED"
"1599","Skin infection",4201258,"302011000","Boil of lower limb","Condition","SNOMED"
"1600","Skin infection",4201370,"432728006","Infection of skin of neck","Condition","SNOMED"
"1601","Skin infection",4201700,"302013002","Carbuncle of upper limb","Condition","SNOMED"
"1602","Skin infection",4204843,"53651004","Pustular folliculitis","Condition","SNOMED"
